username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
rereeonni,Nano,INF001,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.9,True,Positive,False,0.037,300000,800000,1800000,False,0.35,True,lifestyle,13094,2151,389
nicoletrisia,Nano,INF002,['Milenial'],['Perempuan'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.82,True,Neutral,False,0.022,320000,780000,1900000,True,0.55,False,food,31756,4580,483
fransiskasonia,Nano,INF003,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.81,False,Neutral,True,0.053,310000,820000,1850000,False,0.24,False,fashion,20881,4119,199
blizhh_,Nano,INF004,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.7,False,Positive,False,0.039,290000,750000,1750000,True,0.47,False,fashion,42965,1564,338
talulandjanie,Nano,INF145,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,300000,800000,1800000,True,0.42,True,beauty,15500,3100,390
yosiiochie,Nano,INF156,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,280000,770000,1700000,False,0.34,True,lifestyle,12000,2500,270
vannesaffandi,Nano,INF152,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,310000,790000,1850000,False,0.3,True,sport,11200,1850,210
rizkypahleviii,Micro,INF127,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
fidahana,Micro,INF050,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
jurnaltasya,Micro,INF079,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
candyelina_,Micro,INF032,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.8,True,Positive,True,0.05,600000,2000000,4000000,True,0.43,True,education,16000,3300,400
khairinadiar,Micro,INF084,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
angelltamara,Micro,INF018,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.83,True,Positive,True,0.052,700000,2500000,5000000,True,0.44,True,beauty,16500,3400,410
aurelvo_,Micro,INF026,['Generasi Z'],['Perempuan'],['Menengah'],"['Simple', 'Ceria']","['Ceria', 'Ekspresif']",Humble,0.77,False,Neutral,False,0.033,450000,1000000,2500000,False,0.37,True,beauty,12600,2250,265
fahmiadimara,Micro,INF044,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
syaharanieptr,Micro,INF144,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
janicesamanthaa,Micro,INF073,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
dellaajocelyn,Micro,INF036,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.83,True,Positive,True,0.052,700000,2500000,5000000,True,0.44,True,beauty,16500,3400,410
rowieeka_,Micro,INF130,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
m.auliarhman,Micro,INF094,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,600000,2000000,4000000,True,0.45,True,finance,16200,3350,405
mhumprey,Micro,INF098,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,tech,15500,3100,390
fernandofenlee,Micro,INF049,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
iman.indonesia,Micro,INF067,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,education,15500,3100,390
nitaoktarr,Micro,INF106,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,450000,1000000,2500000,False,0.34,True,lifestyle,12000,2500,270
tiffanyfani,Micro,INF148,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,400000,2000000,3000000,False,0.34,True,lifestyle,12000,2500,270
ajengptrn,Micro,INF009,['Generasi Z'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.79,True,Positive,True,0.049,600000,2000000,4000000,True,0.42,True,beauty,15500,3100,390
jhonrchristhoper,Micro,INF077,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,tech,11200,1850,210
ryanwibawa,Micro,INF133,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,400000,1000000,2500000,False,0.3,True,gaming,11200,1850,210
