post_caption,predicted_label
"Broken white, denim, and a pop of red 🍒 Can't wait for you to wear this top too — launching soon @arcollectionn_",call-to-action
"TIMBANGAN KOPI BISA ATUR FLOW RATE AIR! TIMEMORE SCALE BLACK MIRROR DUO @timemore.id @timemoreproducts Terimakasih pertama-tama untuk Timemore yang sudah berbaik hati mengirimkan scale canggih ini ke kepada kami. Hari ini kita mau bahas salah satu timbangan kopi yang bisa bantu kamu seduh kopi dengan lebih presisi, TIMEMORE BLACK MIRROR DUO! Pernah nggak sih, beli beans mahal tapi rasanya nggak maksimal pas diseduh di rumah? Atau rasa seduhan kurang optimal? Bisa jadi jawabannya ada di flow rate air. Apakah tuangannya udah stabil? Flow Rate air ternyata bisa memengaruhi hasil seduhanmu! Nah, TIMEMORE BLACK DUO hadir bukan cuma sebagai timbangan biasa. Alat ini bisa bantu kamu pantau dan atur flow rate saat menuang air, fitur unik yang bikin seduhan lebih konsisten dan terukur. Yuk cek video selengkapnya di channel youtube fugol! #fugolcoffeeroasters #greatcoffeeforgreatpeople",call-to-action
"NGAPAIN PERSONAL COLOR? 💸 Aku juga punya pikiran kaya gitu kok, tapi emang kalian gak penasaran tuh shades foundation kalian apa? Biar gak kegelapan atau keterangan lagi. Gak penasaran lip shades terbaik yang bisa kamu pake? Biar gak neon dan bisa compliment fitur wajah & warna kulit kamu. Kupikir kemahalan TAPI ENGGA! Sekali seumur hidup cobain biar lebih paham apa barang dan warna yang terbaik yang bisa kamu pilih! It’s easier to find shades, outfit combo, even glasses & parfume!🤯✨ Ada banyak package yang ditawarin @colorharmony.id kok kalian bisa pilih sampe yang terlengkap ada konsul & makeover 🥰 Penyampaiannya mudah dimengerti, certified langsung dari Gangnam, Korea! Details banget aku suka dan untuk aku yang sehari-hari mainan warna ini jelas banget sampe aku banyak “woaaaah” wkakwkak Ada yang ajak temennya, saudara bahkan sekeluarga dateng. Karena memang tiap orang bisa berbeda-beda loh personal color-nya meskipun 1 keluarga. Menarik ya? Komen tag temen atau keluarga kalian yang mau kalian ajak kesini! 😆❤️✨",call-to-action
"tolong jemput aku aja pls @iben_ma🙏🏼 hehe kebiasaan bengong kalo jalan, alhasil nyasar di kota sendiri. untung nyasarnya berfaedah dikit kali ini HAHAH #NoWashNoWasWas #sunsilkid @sunsilkid",call-to-action
"KOREA TINGGAL DI TAHUN 3000?!!!😱 #rowiekorea #beginilahrealitanya Iya, nggak salah baca guys. Saking majunya teknologi di sini, berasa hidup di masa depan! Kalo dulu cuma bisa nonton dan ngebayangin aja dilayanin sama robot, kamu bisa ngerasain langsung di cafe ini, lho. Nih, lokasinya ku spill di bawah 📍Ground Blue49 di Hi Insa-dong, Gwanhun-dong, Jongno-gu, Seoul #Koreatinggalditahun3000 #RobotCafe #SuperchargeKorea #kuliahdikorea",call-to-action
"Yuhuuu!! Siap jadi bintang Gen Z selanjutnya?\n\nJangan lupa ikutan audisi online dan offiline #AGZMencariBintangWOW sekarang 🥳💥\n\nDan kamu bisa ikutan audisi offlinenya di sini:\n\n⭐ Surabaya | Chameleon Hall Tunjangan Plaza, 6 Juli 2025 bersama @flaviozavieraa\n\n⭐ Bandung | Festival Citylink Mall, 13 Juli 2025 bersama @ciara_nadine_brosnan\n\n⭐Yogyakarta | Plaza Ambarukmo, 20 Juli 2025 bersama @vaniapriscilla.real\n\n⭐ Jakarta | Neo Soho, 27 Juli 2025 bersama @aqeelacalista dan @harry.vghn\n\n#SCTVSinetron #AsmaraGenZ #AGZMencariBintangWOW #Audisi",call-to-action
"kenalinnn yg aku pake ini The OG Liptint nya @storyofkula 🤍🍉 selain produknya super duper bagus, KULA juga sering bikin society movement kek ginii lohh✨ cuss kepoin @storyofkula 👀 #liptint #palestine #kulasocietymovement",call-to-action
"Aqeela hilang? 😱🤣💥\n\nSaksikan sinetron #AsmaraGenZ setiap hari, pukul 17.00 WIB hanya di SCTV!\n\n#SCTVSinetron #AsmaraGenZ #SCTVKreatif #BullyBukanGenZ",call-to-action
"Whoapps hawloo temen temen ?!🧚🏻‍♀️ After 4 bulan adik surgery udah secakep ini yaw mulaii keliatan natural thow mbaakk 😍 Udah kek 80% nya ini mah best bangetttt foto dari angel mana pun ga masalah 🤭✨ Kantong mata yang menghitam itu udah pudar, mukaku udh mengecil sesuai request dong pastinya 🥰 Super happyyy, ga sabar deh buat liat 100% nyaaaaa 🥳🤩 Dari awal surgery di @indonesia_banobagi sampai sekarang ga kerasa sakit yg bener bener nyeri gitu💖 Tentunya di temani @myvenus.io dong 💕🙌🏻",call-to-action
"DM gue kalo mau tau cara beli rice serum FFY versi JUMBO 😌 Biar sekalian elunya yang masuk ke dalem botol serum, pake serum sebadan 😙 @finallyfoundyou.id #finallyfoundyou",call-to-action
