comment,predicted_label
🔥🔥🔥,spam or irrelevant
🔥🔥,spam or irrelevant
@sumedang.tandang,spam or irrelevant
DIBBYYY😍😍😍😍😍😍,supportive sentiment
Harus banget Nami bang🗿,supportive sentiment
"cepetan comeback tingg, kangen liat kmu on court dahhhhh😢",supportive sentiment
🙌🔥🔥,spam or irrelevant
"Gaboleh cakep cakep ya, tar banyak yang suka🙏🏻",relatable engagement
pagi pagi banget mas🙌🔥,supportive sentiment
Spil tutorial nya bang🙌,product-focused response
(),spam or irrelevant
"Gak sering keluar kota kecil, mhn maap yang tinggalnya aja di kota kecil 😂🤏🏽😢",relatable engagement
❤️,spam or irrelevant
Asli ni keren bgt y,supportive sentiment
Masya Allah perempuan hebat ibok ❤️,supportive sentiment
"fighting cantik, kita ubah kerana Allah..slowly but surely Insya-Allah 🤲🏻🤍",supportive sentiment
CAKEP BGT,supportive sentiment
bambang pamungkas mode wibu😂,relatable engagement
@fransiskusjefrianto,spam or irrelevant
huhu keren pisan😢❤️,supportive sentiment
Dilan kek anak spesial,relatable engagement
Conglast bro and sis,supportive sentiment
Gemesssss bumilll😍,supportive sentiment
Madura Bisaaa❤️❤️🔥🔥,supportive sentiment
dh dpt huhu,spam or irrelevant
Ternyata emang secantik itu dari sononyaaa😭🙏🏻,supportive sentiment
🔥🔥🔥🔥,spam or irrelevant
💙,spam or irrelevant
bekicot😭😭,passive engagement
Aaah plissss ini super kereeennn bangetttt 🩷🩷🩷,supportive sentiment
Dm,spam or irrelevant
😢😢😢😢 Dari DBL Arena to GBK 🫶🏻🫶🏻🫶🏻,supportive sentiment
Canciii semuaaa😍😍😍,supportive sentiment
Seruuuuuuu kemarin nonton di youtube,relatable engagement
Burung elang mencari tikus ya om haha,relatable engagement
Bang kok normal 🥺 @elisabethsuci,social virality
Masa gw yg nonton gw juga yg malu 😂,relatable engagement
"Bukan kecintaan lagi ini mah, Harry minta dunia aja bakalan aku kasih😭😭😭😭😭",relatable engagement
wahhhh😍,supportive sentiment
Ma gurl 🔥🔥🔥🔥,supportive sentiment
Bang beli kaos harukonya dimanaa,product-focused response
Congrats ❤️❤️,supportive sentiment
Wihh.. dosen kita Ahmad 😎😂😂,relatable engagement
wah keren bangett ad cafe kyk gni😍,supportive sentiment
cantiikk bangettt adeekk❤️❤️❤️🔥,supportive sentiment
"Difoto dengan running form kayak gini keren bgt hasilnya, kalau form msh acak-acakan malah gak pede kalau di foto 😅",relatable engagement
Outif ce nat adem banget di liat nya😍 . Btw ce aku dah lama banget ga warnain rambut ada 3 tahun lebih😅 Soalnya selama Hamil dan jadi Busui aku ga berani . Aku Suka warna Burgundy Ce ☺️,supportive sentiment
