influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise
INF001,Ayu Tingting,Instagram,83,"['Entertainment','Music','Lifestyle']",Generasi Milenial,Perempuan,Menengah,"['Glamour','Modern']","['Energetic','Expressive']",Fun,True,Positive,False,"['Dangdut','Artis'] ",False,0.36,False,False
INF002,Atta Halilintar,YouTube,90,"['Entertainment','Vlog','Family']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Entrepreneur']","['Energetic','Ambitious']",Inspiring,True,Positive,False,"['Gen Halilintar','Vlogger']",False,0.68,False,False
INF003,Prilly Latuconsina,Instagram,85,"['Entertainment','Acting','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Glamour']","['Expressive','Friendly']",Passion,True,Positive,False,"['Sinetron','Aktris']",False,0.48,False,False
INF004,Raditya Dika,YouTube,88,"['Comedy','Writing','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Simple','Modern']","['Humorous','Creative']",Creativity,True,Positive,False,"['Standup','Penulis']",False,0.48,True,False
INF005,Iqbaal Ramadhan,Instagram,80,"['Music','Acting','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Friendly','Talented']",Youthfulness,True,Positive,False,"['CJR','Musisi']",False,0.53,False,False
INF006,Michelle Ziudith,Instagram,74,"['Acting','Lifestyle','Travel']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Travel']","['Friendly','Adventurous']",Passion,False,Positive,False,"['Aktris','Traveler']",False,0.88,False,False
INF007,Chelsea Olivia,Instagram,75,"['Acting','Family','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.35,False,False
INF008,Dinda Hauw,Instagram,73,"['Acting','Family','Lifestyle']",Generasi Z,Perempuan,Menengah,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.41,False,False
INF009,Lyodra Ginting,Instagram,78,"['Music','Entertainment','Youth']",Generasi Z,Perempuan,Menengah,"['Modern','Youthful']","['Talented','Expressive']",Talent,False,Positive,False,"['Idol','Musisi']",False,0.28,False,False
INF010,Gisella Anastasia,Instagram,72,"['Entertainment','Music','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Expressive','Friendly']",Family,False,Positive,False,"['Artis','Ibu']",False,0.22,False,False
