brand_name,industry,brand_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_value,growth_type,marketing_goal,brand_criteria,budget
Betadine,FMCG,BRD001,"['Generasi Z']","['Perempuan', 'Laki-laki']",['Atas'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Conative,self-care haul gaya ceria Gen Z perempuan,3500000
Torabika,FMCG,BRD002,"['Generasi Z']","['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Conative,gaya ceria haul perempuan gaya ceria suka skincare,12000000
Good Day,FMCG,BRD003,"['Generasi Z', 'Milenial']",['Laki-laki'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Affective,self-care aktif di Instagram Gen Z gaya ceria self-care,28000000
Tropicana Slim,FMCG,BRD004,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Atas'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",stable,Affective,suka skincare gaya ceria aktif di Instagram haul self-care,9000000
Sasa,FMCG,BRD005,['Milenial'],['Perempuan'],['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Inovasi', 'Kepercayaan']",stable,Conative,haul aktif di Instagram self-care haul suka skincare,22000000
Nutrijell,FMCG,BRD006,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Conative,Gen Z gaya ceria Gen Z perempuan gaya ceria,15000000
Energen,FMCG,BRD007,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Modern', 'Elegance']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",stable,Conative,suka skincare perempuan aktif di Instagram gaya ceria suka skincare,5000000
Fitbar,FMCG,BRD008,['Generasi Z'],['Perempuan'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Estetika', 'Kesehatan']",high,Conative,haul aktif di Instagram Gen Z aktif di Instagram Gen Z,30000000
Chocolatos,FMCG,BRD009,['Generasi Z'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Aktif', 'Sehat']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",high,Cognitive,gaya ceria gaya ceria Gen Z gaya ceria perempuan,8000000
TopChiz,FMCG,BRD010,['Milenial'],['Laki-laki'],"['Menengah', 'Atas']","['Modern', 'Elegance']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Affective,self-care self-care gaya ceria self-care haul,25000000
Morinaga,FMCG,BRD011,['Milenial'],['Perempuan'],"['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",high,Conative,gaya ceria aktif di Instagram aktif di Instagram haul perempuan,11000000
Malkist,FMCG,BRD012,['Milenial'],"['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Inovasi', 'Kepercayaan']",high,Affective,self-care Gen Z gaya ceria self-care self-care,20000000
Beng Beng,FMCG,BRD013,['Milenial'],['Perempuan'],['Atas'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Estetika', 'Kesehatan']",high,Cognitive,haul perempuan aktif di Instagram perempuan suka skincare,6000000
Kuku Bima,FMCG,BRD014,['Generasi Z'],['Perempuan'],['Atas'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",high,Conative,perempuan haul self-care self-care perempuan,34000000
ABC (Heinz ABC Indonesia),FMCG,BRD015,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Simple', 'Cerah']","['Introvert', 'Tenang']","['Estetika', 'Kesehatan']",stable,Conative,perempuan perempuan aktif di Instagram suka skincare gaya ceria,13000000
Kanzler,FMCG,BRD016,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Kreatif', 'Sosial']",stable,Conative,self-care haul Gen Z perempuan aktif di Instagram,27000000
Forvita,FMCG,BRD017,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Cognitive,self-care suka skincare suka skincare Gen Z self-care,4000000
Citra,FMCG,BRD018,['Generasi Z'],['Laki-laki'],['Menengah'],"['Simple', 'Cerah']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",high,Conative,haul aktif di Instagram gaya ceria self-care suka skincare,23000000
Filma,FMCG,BRD019,"['Generasi Z', 'Milenial']",['Perempuan'],"['Menengah', 'Atas']","['Aktif', 'Sehat']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Conative,perempuan Gen Z self-care self-care aktif di Instagram,10000000
Mayumi,FMCG,BRD020,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",['Menengah'],"['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,perempuan Gen Z Gen Z aktif di Instagram aktif di Instagram,29000000
Segar,FMCG,BRD021,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']","['Menengah', 'Atas']","['Simple', 'Cerah']","['Fun', 'Energetic']","['Kreatif', 'Sosial']",stable,Cognitive,suka skincare gaya ceria aktif di Instagram haul Gen Z,7000000
Gery,FMCG,BRD022,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",stable,Conative,haul haul gaya ceria haul aktif di Instagram,26000000
Qtela,FMCG,BRD023,['Generasi Z'],"['Perempuan', 'Laki-laki']",['Atas'],"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']","['Kreatif', 'Sosial']",high,Affective,perempuan Gen Z perempuan perempuan perempuan,14000000
Mama Lime,FMCG,BRD024,['Generasi Z'],['Laki-laki'],['Atas'],"['Simple', 'Cerah']","['Introvert', 'Tenang']","['Inovasi', 'Kepercayaan']",high,Affective,suka skincare perempuan haul perempuan self-care,32000000
