post_caption,predicted_label
rajin-rajin minum matcha biar dapet cowo greenflag. btw biar ga boros mending beli matcha ini! cuma 30rb-an tapi bisa minum matcha berkali-kali 😍💚 #matcha #matchalatte #matchalatterecipe #matchadrink #matchalover #ilovematcha #ilovematcha🧋💚💚 #matchapowder #matchatea #beliditiktokshop #paydaysale #viralditiktok #resepminuman #minumanviral,product-focused
"resep chicken fingers simpel ala anak kost, cuma pake 3 bahan aja lohhh. yuk recook juga pake snack makaroni @officialboncabe ! 🤩 #BonCabe #SnackBonCabe #SnackBonCabeMakroni #TemanMakan #resepsimple #reseptiktok #resepmasakan #resepmudah #viralditiktok #resepanakkost #resepayam #resepchicken #resepchickenfinger #chickenfingers",product-focused
resep cheesecuit cuma 4 bahan tanpa oven dan mixer! simpel dan cocok untuk ide jualan. yuk recook! 😍 #resepdessert #dessertrecipe #resep #resepmudah #resepkue #idejualan #idebisnis #dessert #dessertrecipes,call-to-action
"breakfast with the giraffes!🦒 a super fun experience even for adults😂 📍Emirates Zoo, Abu Dhabi, UAE 💰AED 2100/group (max 4 person) - approximately IDR 2,400,000 / person (kl full 4 pax ya) price was worth it! other than breakfast and photo sesh with giraffes, it also includes lots of other activities such as animal feeding (hippo, camel, etc), experience african drumming, and also full day free admission to the zoo as well😍 book through their website ya~",personal storytelling
"so… wanna try to have breakfast with the 🦒 ? meet Houdi, Abi, Mary, and Eid (the baby)🥹 #travel",engagement-inviting
In awe of this masterpiece of faith and beauty🕌,personal storytelling
"dive into one of the wildest, most breathtaking mountain pools🏞️ #travel #socotra #travelsocotra",personal storytelling
"Notably, one of the most beautiful villages I’ve ever seen.. welcome to Qalansiyah🐟🛶 #travel #socotra #island",personal storytelling
"Grateful that I become one of the 2 Winners of the “Dean’s List” Award & Best Performance in Marketing held by Sheffield University Management School this year 🎓♥️. On previous years “Dean’s list winners” were came from 17 countries. Yesterday, I added “Indonesia” to the country list. Thus, I intentionally planned to use red & white traditional clothes to represent my country’s flag colour on the Prize Giving & Awarding event last Night 🇮🇩. I’m so proud that this small girl from a developing country could serve the qualities and contributions in a global environment standard 🌍 I’m proud that this girl has a developed mindset that everything is possible (as long as she loves what she does and give her best in everything). This 1 minute+ video represents what I did during my master degree year in 2023-2024. Not to show off, but to prove the greatness of God in my life🌻and to show that this little girl from a developing country could make this country a little bit proud 🇮🇩 #deanslistaward #deanslist #prizegivingceremony #awarding #awardingceremony #mastedegree #graduation #ShefUniGrad #SUMSinspire",personal storytelling
"Best Performance in MSc. Marketing Management Practice from Chartered Institute of Marketing + The Dean’s List Award Winner 🏆🎓 #graduation #awarding #masterdegree . 📍Sheffield, January 14th, 2025 🇬🇧 📸🎥 : @almadhea @mmirzaap - Special thanks, dokumentasinya keren bangett 👌 . Congratulations to all Prize winners, Student Ambassadors, and Content Creators 🥳🥳 . . . #deanslist #topperformer #studentambassadors #contentcreators",personal storytelling
