username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
rereeonni,Nano,INF001,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.9,True,Positive,False,0.037,300000,800000,1800000,False,0.35,True,lifestyle,13094,2151,389
nicoletrisia,Nano,INF002,['Milenial'],['Perempuan'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.82,True,Neutral,False,0.022,320000,750000,1900000,True,0.55,False,food,31756,4580,483
fransiskasonia,Nano,INF003,"['Generasi Z', 'Milenial']",['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.81,False,Neutral,True,0.053,340000,820000,1950000,False,0.24,False,fashion,20881,4119,199
blizhh_,Nano,INF004,"['Generasi Z', 'Milenial']",['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.7,False,Positive,False,0.039,310000,780000,1850000,True,0.47,False,fashion,42965,1564,338
aang.permanaa,Micro,INF006,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Aktif', 'Modern']","['Energetic', 'Ekspresif']",Brave,0.68,False,Neutral,False,0.028,500000,2000000,4000000,False,0.33,True,sport,12000,2100,250
agangani94,Nano,INF008,['Milenial'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.65,False,Neutral,False,0.025,290000,700000,1700000,False,0.29,True,food,11000,1800,200
ajengptrn,Nano,INF009,['Generasi Z'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.79,True,Positive,True,0.049,330000,810000,1900000,True,0.42,True,beauty,15500,3100,390
aldogiustino,Micro,INF010,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Aktif', 'Modern']","['Fun', 'Energetic']",Brave,0.72,False,Positive,False,0.032,600000,2500000,4500000,False,0.36,True,sport,12500,2200,260
ameliandanii,Mega,INF011,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Ceria', 'Ekspresif']",Humble,0.77,True,Positive,True,0.043,12000000,30000000,40000000,True,0.39,True,lifestyle,14500,3000,380
amerossaaaaa,Macro,INF012,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.69,False,Neutral,False,0.027,4000000,12000000,16000000,False,0.31,True,beauty,11500,2000,220
amritsaraje,Mega,INF013,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.73,True,Positive,True,0.04,15000000,35000000,45000000,True,0.37,True,sport,13500,2700,350
analisa.widyaningrum,Macro,INF014,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.05,5000000,15000000,20000000,True,0.43,True,education,16000,3300,400
anastasiayasmeen,Mid,INF015,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Kreatif,0.75,False,Neutral,False,0.03,2000000,7000000,9000000,False,0.34,True,lifestyle,12000,2500,270
andhirashfrly,Nano,INF016,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Aktif', 'Modern']","['Energetic', 'Ekspresif']",Brave,0.71,True,Positive,True,0.038,320000,790000,1900000,True,0.35,True,tech,12800,2300,240
andirazh,Macro,INF017,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.78,False,Positive,False,0.036,4500000,13000000,18000000,False,0.32,True,gaming,11800,2100,210
angelltamara,Micro,INF018,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.83,True,Positive,True,0.052,700000,3000000,5000000,True,0.44,True,beauty,16500,3400,410
annabellwijono,Micro,INF019,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.79,False,Neutral,False,0.031,400000,900000,2100000,False,0.33,True,lifestyle,12200,2600,280
arafahrianti,Mega,INF020,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.048,13000000,32000000,42000000,True,0.41,True,entertainment,15800,3200,390
arvhiehanafi,Mid,INF021,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.67,False,Neutral,False,0.029,1500000,6000000,8000000,False,0.3,True,tech,11200,1850,210
aryamohan7,Mega,INF022,['Milenial'],['Laki-laki'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.8,True,Positive,True,0.051,14000000,33000000,43000000,True,0.45,True,finance,16200,3350,405
arzkeys,Mid,INF023,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.72,False,Positive,False,0.035,1800000,6500000,8500000,False,0.34,True,gaming,11900,2150,220
asrinda.basrii,Macro,INF024,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.84,True,Positive,True,0.054,6000000,16000000,21000000,True,0.46,True,beauty,16800,3450,415
attahalilintar,Mega,INF025,"['Generasi Z', 'Milenial']",['Laki-laki'],['Atas'],"['Modern', 'Aktif']","['Ekspresif', 'Energetic']",Kreatif,0.95,True,Positive,True,0.065,20000000,50000000,60000000,True,0.6,True,entertainment,500000,120000,9000
aurelvo_,Micro,INF026,['Generasi Z'],['Perempuan'],['Menengah'],"['Simple', 'Ceria']","['Ceria', 'Ekspresif']",Humble,0.77,False,Neutral,False,0.033,450000,1000000,2500000,False,0.37,True,beauty,12600,2250,265
bellmirs,Macro,INF027,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.82,True,Positive,True,0.05,5500000,14000000,19000000,True,0.43,True,education,16000,3300,400
berllian_5,Macro,INF028,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.75,False,Neutral,False,0.03,3500000,10000000,14000000,False,0.34,True,lifestyle,12000,2500,270
biancakartika,Macro,INF029,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,5000000,15000000,20000000,True,0.42,True,beauty,15500,3100,390
bncbs,Micro,INF031,['Generasi Z'],['Laki-laki'],['Menengah'],"['Aktif', 'Modern']","['Fun', 'Ekspresif']",Brave,0.68,False,Neutral,False,0.028,500000,1500000,3000000,False,0.33,True,sport,12000,2100,250
candyelina_,Micro,INF032,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.8,True,Positive,True,0.05,600000,2000000,4000000,True,0.43,True,education,16000,3300,400
cccookie_cia,Mid,INF033,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Kreatif,0.75,False,Neutral,False,0.03,1500000,6000000,8000000,False,0.34,True,lifestyle,12000,2500,270
cindyyuvia,Macro,INF034,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,4500000,13000000,18000000,True,0.42,True,beauty,15500,3100,390
debbysusanto,Macro,INF035,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.79,False,Neutral,False,0.031,4000000,12000000,16000000,False,0.33,True,lifestyle,12200,2600,280
dellaajocelyn,Micro,INF036,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.83,True,Positive,True,0.052,700000,2500000,5000000,True,0.44,True,beauty,16500,3400,410
dianandach,Mid,INF037,['Generasi Z'],['Perempuan'],['Menengah'],"['Ceria', 'Simple']","['Fun', 'Ceria']",Humble,0.79,False,Neutral,False,0.031,2000000,7000000,9000000,False,0.33,True,lifestyle,12200,2600,280
dilanjaniyar,Mega,INF038,['Milenial'],['Perempuan'],['Menengah ke atas'],"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.81,True,Positive,True,0.049,11000000,28000000,38000000,True,0.42,True,beauty,15500,3100,390
