comment,predicted_label,confidence
Kok mirip Irfan hakim,relatable engagement,0.7488
Tiba2 ga ke rekam gmn,spam or irrelevant,0.526
Asta'ir mi'ah😂,spam or irrelevant,0.6933
Apakah ini anaknya yang viral itu ya,relatable engagement,0.6077
Emak lu bang,spam or irrelevant,0.8248
Bang,spam or irrelevant,0.3362
"bang yg viral di tiktok, x itu ibu lu?",relatable engagement,0.6007
Bang sama @medyrenaldy dong😁,social virality,0.7969
Mirip irpan hakin yah yg minjem seratus itu😂😂 maaf,relatable engagement,0.9266
Bang lu gua follow karna jadi cosplaynya Anis Baswedan,relatable engagement,0.5695
Wkwkwk gantaaa 😭😭😭,spam or irrelevant,0.7444
😂😂😂,spam or irrelevant,0.2719
@irfanhakim75 mirip gak sih?,social virality,0.8153
Yang ketimuran itu 😂,relatable engagement,0.5469
gantaaaaaa😭,spam or irrelevant,0.448
@_gntky 😂,social virality,0.4128
Ke timuraann 😭😭😭,relatable engagement,0.4457
Asta'ir mi'ah 😭,spam or irrelevant,0.566
"Ngomong ngomong pinjem seratus,pinjem 1 m dong buat nyawer dipandeglang",relatable engagement,0.4868
Ngakak😂,spam or irrelevant,0.4272
😂😂,spam or irrelevant,0.2699
@aganta7,social virality,0.6413
Tolong talent nya diganti sm yg megangin kamera. Biar g gabut. 😂,supportive sentiment,0.5257
Ngakak ya Alloh 😂,supportive sentiment,0.8269
استعير مائة 🤣🤣,spam or irrelevant,0.4398
"Konten bagus, perbanyak bikin ketawa",supportive sentiment,0.5423
"Aku terlalu bayi untuk seratus tahun mencintai ,,,ngapin coba 🙌",supportive sentiment,0.6013
Terlalu realistis...😂 @fazaazhari_,social virality,0.4987
@aganta7 😂,social virality,0.5335
👏👏,spam or irrelevant,0.6474
YANG KETIMURAN😭😭😭😭😭😭,relatable engagement,0.4107
@neshaoktavia_15 de 😂,social virality,0.4526
"Agar silaturahmi tidak terkendala, boleh la pinjam sejuta. :v",relatable engagement,0.5008
((astair mi’ah)) 😂😂😂😂😂,spam or irrelevant,0.3325
"Koq mirip MC ngetop seindonesia wajahnya, hehehe.. @irfanhakim75",relatable engagement,0.9183
أستعير مائة 😂😂😂😂,passive engagement,0.3937
Suka bgt sama konten yg kek giniii. Lanjut next contenttt,supportive sentiment,0.8737
😂😂😂😂😂😂,passive engagement,0.3206
Mirip @irfanhakim75 😂,relatable engagement,0.821
@choooco.lava,social virality,0.3759
Minjem seratus juta dong,relatable engagement,0.4503
Cewek lainnya belum diblock,relatable engagement,0.4925
"Kak Rizky tu dulu ada di konten islami anak muda, ada ustad pantun jg itu nama channel nya apa ya, sering bgt nonton itu dulu",product-focused response,0.5451
Haha skil cowok 🙌,passive engagement,0.571
Ohhhh gituuuu,passive engagement,0.8483
Bang happy wedding cie cie,supportive sentiment,0.6674
@ajibs29 kelakuan,social virality,0.9343
Lucu banget cardigannya,product-focused response,0.3381
Gapake vium bang bro,spam or irrelevant,0.7675
ohhhh gituuu yaaaaa,spam or irrelevant,0.6049
Astaghfirullah,spam or irrelevant,0.8873
Tim ga pernah cek hp pasangan tapi tau isi chat nya siapa aja😂😂😂,relatable engagement,0.8872
Hm,spam or irrelevant,0.3967
"gk pernah mau nyari penyakit ngecek\ hpnya. lagian di kunci semua sak\"" aplikasinya sama doi😂""",relatable engagement,0.6303
okok,passive engagement,0.4739
oh gitu,passive engagement,0.4706
Wkwkwkw,passive engagement,0.4902
Ohhh begini trnya😂,relatable engagement,0.5653
Pasti bginiki juga toh @xdjgilang,social virality,0.8809
Anj kau bang,relatable engagement,0.7609
"Knp hrus gtu, pdhl klw jujur mlah gk ribet 🥲",relatable engagement,0.6722
Liat ini menambah keyakinanku being single adalah pilihan yg benar,relatable engagement,0.9236
Tim adu mekanik 😎🤣🤪,relatable engagement,0.5896
Hp android 😁🤭,spam or irrelevant,0.4146
😂🤣,spam or irrelevant,0.2856
@feryxry kamu ga ginii kan?,social virality,0.5306
O GITU,passive engagement,0.7927
Njirrr. Gak sebegitunya 🗿🗿🗿,relatable engagement,0.4274
Oh ini ternyata knp km minta aku harus ngabarin klau dateng 😂 @nilmarst_,relatable engagement,0.9251
oh gt,relatable engagement,0.3667
"Aku gak pernah cek hp suami .. tapi pas ketauan selingkuh, ya ketauan aja walaupun ga buka buka hp nya 🤣",relatable engagement,0.5463
AHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHA,passive engagement,0.4497
Kmu versi aku😂,relatable engagement,0.6187
Cewek jg sama kalli,relatable engagement,0.3759
Apa gada hapus semua apa 😂,relatable engagement,0.3302
Ckp tw,passive engagement,0.4793
Kenapa 1 1 sih hapusnya,relatable engagement,0.6784
Ya allah jauhkanlah hamba dari cowo begini,relatable engagement,0.296
OH GITU OH GITU,relatable engagement,0.6094
ini sih aku kalo ketemu ayang😂,relatable engagement,0.7376
oh gitu 😁,relatable engagement,0.4508
@_otsky9,social virality,0.4591
Hehe,passive engagement,0.3443
😭🤣,passive engagement,0.405
Ngabrutttt😭😭,relatable engagement,0.5709
Kak cukup kak😭😭😭,relatable engagement,0.6124
😂😂😂😂😂😂😂😂,passive engagement,0.2973
Ya Allah 😭😭😭😭,passive engagement,0.4005
Sungguh beda dr yg lain wkwk,supportive sentiment,0.6645
😂😂😂😂😂😂😂,passive engagement,0.2925
😭😭😭😭😭😭😭😭,passive engagement,0.4618
😂😂😂😂,passive engagement,0.3187
Itu suamiku k aku. Dia tau kalau aku belum kentut😂😂😂,relatable engagement,0.6423
Ada aja 😂,relatable engagement,0.354
anjirrr 😢😂,passive engagement,0.6102
😂😂😂paket istimewa berisi segalanya,passive engagement,0.6215
😂😂😂😂😂 cape,passive engagement,0.5056
BMKG pun gak bisa memprediksi karna bener² diluar nurul,supportive sentiment,0.5077
😭😭😭😭😭😭,passive engagement,0.4683
😂😂😂😫😫😫,passive engagement,0.4105
😭😭😭sialann,passive engagement,0.5636
Kenapa sih kalian ga nikah aja malah sm yg lain nikahnya 😢,relatable engagement,0.7382
Wkwkwk 😂😂,passive engagement,0.352
@taufik.a.apriyanto 😂🤣🤣🤣🤣,social virality,0.3493
😢😢😢😢,passive engagement,0.4829
😭😭😭😭,passive engagement,0.4804
Random bet😂,passive engagement,0.5357
😂😂😂😂😂,passive engagement,0.3428
🤣🤣🤣,passive engagement,0.2633
😭😭😭😭😭😭😭,passive engagement,0.454
🤣,passive engagement,0.2667
Nyesel bgt nyasar sampe sini 😭,relatable engagement,0.5365
Unexpected sih ini,supportive sentiment,0.3104
relate banget nget nget 😭,relatable engagement,0.7353
"Keren banget 👏, dikala temennya tetep ngepod beneran depan kamera, dia public figure rela lepeh sobekan majalah 🙌",supportive sentiment,0.4834
Mana lenturan dia lagi curiga khodam nya jkt 48 😉,supportive sentiment,0.5681
Tapi kaya lebih enjoy pke baju pink😂,supportive sentiment,0.4298
Air apa tu ka. Magic water kh (bertanya dgn nada lembut),supportive sentiment,0.3345
😂😂😂 ya ampun cute banget ngakak gue mah,supportive sentiment,0.4456
Berasa keren bgt pasti gegara headphone. Wkwkwkw,supportive sentiment,0.7007
Cocok lagu pica pica lagi,supportive sentiment,0.5863
Hbubgan kalian apa iii kok sweet banget ❤️🔥,supportive sentiment,0.5555
Luwes amat bang 😂,supportive sentiment,0.8468
KO COCOK😂,supportive sentiment,0.5442
Curiga dari konten jadi manten part 2 nih 😍😍😁,supportive sentiment,0.5728
ngakak sama kertas yang dilepeh 😂🤣,supportive sentiment,0.3451
"senyum baru nih, senyum bulan ya?",supportive sentiment,0.481
Hehe...menjiwai sekali klo di story cewek😂😂,supportive sentiment,0.571
Bagus menyesuaikan,relatable engagement,0.7838
please 😭😭😭😭,passive engagement,0.4223
Lentur banget,supportive sentiment,0.3035
Mana luwesan dia di banding cewe nya😂,supportive sentiment,0.329
Bro menikmati perannya 😂😂,supportive sentiment,0.5966
Km Lebih menjiwai y pas pake baju pink de 😂😂😂,supportive sentiment,0.4377
Bro lebih terlihat bahagia dengan wanita nya 😂😂😂,supportive sentiment,0.551
😂😂😂 realita,relatable engagement,0.8976
Relate 😂😂,supportive sentiment,0.709
Tatapan sang cowok sungguh?? Wadidaw 😂,passive engagement,0.3665
Bejir. Elu doang inimah Le. Jgn bawa2 cowo lain lah.😮,supportive sentiment,0.5074
Mana lebih lincah dianya hahahha,supportive sentiment,0.364
Mereka tuh kenapa ya? 😂,supportive sentiment,0.4838
Apa itu yang di lepehin?? 😂,supportive sentiment,0.3663
Bang lu mirip irfan hakim,relatable engagement,0.8688
Nongkrong habis subuh vibes,relatable engagement,0.4335
"Kalau ada pilihan, kayaknya mending ngemut permen kaki ketimbang sobekan majalah 😂😂",relatable engagement,0.487
Seneng list kak cacil... Walaupun syari tidal jadi penghalang until tetap keren,supportive sentiment,0.4716
Dr cara jalan lu aja udh ketauan kok bg klo....,relatable engagement,0.9
