influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise
INF001,Ayu Tingting,Instagram,NULL,"['Entertainment','Music','Lifestyle']",Generasi Milenial,Perempuan,Menengah,"['Glamour','Modern']","['Energetic','Expressive']","Fun",NULL,TRUE,Positive,FALSE,NULL,"['Dangdut','Artis'] ",FALSE,NULL,FALSE,FALSE
INF002,Atta Halilintar,YouTube,NULL,"['Entertainment','Vlog','Family']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Entrepreneur']","['Energetic','Ambitious']","Inspiring",NULL,TRUE,Positive,FALSE,NULL,"['Gen Halilintar','Vlogger']",FALSE,NULL,FALSE,FALSE
INF003,Prilly Latuconsina,Instagram,NULL,"['Entertainment','Acting','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Glamour']","['Expressive','Friendly']","Passion",NULL,TRUE,Positive,FALSE,NULL,"['Sinetron','Aktris']",FALSE,NULL,FALSE,FALSE
INF004,Raditya Dika,YouTube,NULL,"['Comedy','Writing','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Simple','Modern']","['Humorous','Creative']","Creativity",NULL,TRUE,Positive,FALSE,NULL,"['Standup','Penulis']",FALSE,NULL,TRUE,FALSE
INF005,Iqbaal Ramadhan,Instagram,NULL,"['Music','Acting','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Friendly','Talented']","Youthfulness",NULL,TRUE,Positive,FALSE,NULL,"['CJR','Musisi']",FALSE,NULL,FALSE,FALSE
INF006,Michelle Ziudith,Instagram,NULL,"['Acting','Lifestyle','Travel']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Travel']","['Friendly','Adventurous']","Passion",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Traveler']",FALSE,NULL,FALSE,FALSE
INF007,Chelsea Olivia,Instagram,NULL,"['Acting','Family','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Ibu']",FALSE,NULL,FALSE,FALSE
INF008,Dinda Hauw,Instagram,NULL,"['Acting','Family','Lifestyle']",Generasi Z,Perempuan,Menengah,"['Family','Modern']","['Caring','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Ibu']",FALSE,NULL,FALSE,FALSE
INF009,Lyodra Ginting,Instagram,NULL,"['Music','Entertainment','Youth']",Generasi Z,Perempuan,Menengah,"['Modern','Youthful']","['Talented','Expressive']","Talent",NULL,TRUE,Positive,FALSE,NULL,"['Idol','Musisi']",FALSE,NULL,FALSE,FALSE
INF010,Gisella Anastasia,Instagram,NULL,"['Entertainment','Music','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Expressive','Friendly']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Artis','Ibu']",FALSE,NULL,FALSE,FALSE
INF011,Natasha Wilona,Instagram,NULL,"['Acting','Lifestyle','Beauty']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Beauty']","['Friendly','Talented']","Beauty",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Beauty']",FALSE,NULL,FALSE,FALSE
INF012,Ariel Noah,Instagram,NULL,"['Music','Entertainment','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Modern','Music']","['Talented','Cool']","Talent",NULL,TRUE,Positive,FALSE,NULL,"['Noah','Musisi']",FALSE,NULL,FALSE,FALSE
INF013,Cinta Laura,Instagram,NULL,"['Acting','Music','Education']",Generasi Milenial,Perempuan,Menengah ke atas,"['Modern','Education']","['Talented','Smart']","Empowerment",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Pendidikan']",FALSE,NULL,FALSE,FALSE
INF014,Felicya Angelista,Instagram,NULL,"['Acting','Entrepreneur','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Entrepreneur']","['Caring','Ambitious']","Family",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Bisnis']",FALSE,NULL,FALSE,FALSE
INF015,Indra Bekti,Instagram,NULL,"['Entertainment','MC','Comedy']",Generasi X,Laki-laki,Menengah,"['Modern','Simple']","['Humorous','Friendly']","Fun",NULL,TRUE,Positive,FALSE,NULL,"['MC','Presenter']",FALSE,NULL,FALSE,FALSE
INF016,Rizky Febian,Instagram,NULL,"['Music','Entertainment','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Talented','Friendly']","Talent",NULL,TRUE,Positive,FALSE,NULL,"['Musisi','Idol']",FALSE,NULL,FALSE,FALSE
INF017,Tasya Kamila,Instagram,NULL,"['Entertainment','Education','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Education']","['Smart','Friendly']","Empowerment",NULL,TRUE,Positive,FALSE,NULL,"['Aktris','Pendidikan']",FALSE,NULL,FALSE,FALSE
