influencer_id,name,platform_primary,platform_primary_score,persona,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,trending_status,likeability_sentiment,campaign_success_signif,similarity_tags,has_relevant_history,random_endorse_rate,behavior_consistency,expertise,influencer_clean
INF001,ayu tingting,Instagram,83,"['Entertainment','Music','Lifestyle']",Generasi Milenial,Perempuan,Menengah,"['Glamour','Modern']","['Energetic','Expressive']",Fun,True,Positive,False,"['Dangdut','Artis'] ",False,0.36,False,False,ayu tingting
INF002,atta halilintar,YouTube,90,"['Entertainment','Vlog','Family']",Generasi Z,Laki-laki,Menengah ke atas,"['Modern','Entrepreneur']","['Energetic','Ambitious']",Inspiring,True,Positive,False,"['Gen Halilintar','Vlogger']",False,0.68,False,False,atta halilintar
INF003,prilly latuconsina,Instagram,85,"['Entertainment','Acting','Lifestyle']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Glamour']","['Expressive','Friendly']",Passion,True,Positive,False,"['Sinetron','Aktris']",False,0.48,False,False,prilly latuconsina
INF004,raditya dika,YouTube,88,"['Comedy','Writing','Lifestyle']",Generasi Milenial,Laki-laki,Menengah ke atas,"['Simple','Modern']","['Humorous','Creative']",Creativity,True,Positive,False,"['Standup','Penulis']",False,0.48,True,False,raditya dika
INF005,iqbaal ramadhan,Instagram,80,"['Music','Acting','Youth']",Generasi Z,Laki-laki,Menengah,"['Modern','Youthful']","['Friendly','Talented']",Youthfulness,True,Positive,False,"['CJR','Musisi']",False,0.53,False,False,iqbaal ramadhan
INF006,michelle ziudith,Instagram,74,"['Acting','Lifestyle','Travel']",Generasi Z,Perempuan,Menengah ke atas,"['Modern','Travel']","['Friendly','Adventurous']",Passion,False,Positive,False,"['Aktris','Traveler']",False,0.88,False,False,michelle ziudith
INF007,chelsea olivia,Instagram,75,"['Acting','Family','Lifestyle']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.35,False,False,chelsea olivia
INF008,dinda hauw,Instagram,73,"['Acting','Family','Lifestyle']",Generasi Z,Perempuan,Menengah,"['Family','Modern']","['Caring','Friendly']",Family,False,Positive,False,"['Aktris','Ibu']",False,0.41,False,False,dinda hauw
INF009,lyodra ginting,Instagram,78,"['Music','Entertainment','Youth']",Generasi Z,Perempuan,Menengah,"['Modern','Youthful']","['Talented','Expressive']",Talent,False,Positive,False,"['Idol','Musisi']",False,0.28,False,False,lyodra ginting
INF010,gisella anastasia,Instagram,72,"['Entertainment','Music','Family']",Generasi Milenial,Perempuan,Menengah ke atas,"['Family','Modern']","['Expressive','Friendly']",Family,False,Positive,False,"['Artis','Ibu']",False,0.22,False,False,gisella anastasia
